country,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
Netherlands,-0.032669,-0.37075,-0.56831,0.032706,-0.16112,-0.20558,0.084165,0.38814,0.076116,0.059084,1.6459,-0.76493,-0.44912,-0.30316,1.0736,0.55036,1.0552,-1.2239,-1.1585,0.43487,0.28784,-0.42224,-0.14283,1.063,-1.053,-1.1665,0.19036,-0.52252,-0.79615,0.12746,1.6096,0.35691,-0.22035,-0.23128,-0.29734,-0.70532,0.63626,0.78947,-0.15596,-0.29645,0.92972,0.19664,1.9503,-1.2185,0.0092723,0.93407,-0.58845,-0.54178,-0.22943,-0.7371
Ecuador,0.62536,-0.27023,-0.29621,1.4095,-0.21244,-0.68203,0.0021002,0.67204,-0.43825,0.53187,1.0147,-0.34419,0.84355,-0.15407,0.76152,-0.70229,-0.39018,-0.17543,0.062147,0.49362,-1.5363,-0.61951,0.071709,-0.1349,-0.66791,-0.8335,1.1939,0.42555,0.029744,0.13039,1.6282,-0.038094,-1.1337,0.060749,-0.6041,-0.05053,-1.1834,0.072247,0.17952,-0.52291,-0.20043,0.45469,1.1979,-1.2852,-0.77524,0.96309,-0.45689,0.3413,0.0088349,-1.1663
Cambodia,0.88345,-0.38993,-0.45885,0.69292,-0.083129,-1.139,0.90755,0.06791,0.73287,-0.11709,0.29033,-0.49104,0.41981,-0.60143,0.98908,0.67646,0.31705,0.38288,1.0692,1.3824,0.21762,0.24352,0.35166,0.066776,0.16702,-0.96114,0.24652,-0.49908,-0.9227,0.53186,2.0819,0.23134,-0.68318,0.675,-0.13524,0.40413,-0.37735,0.066228,-0.6638,-0.17418,-1.2095,0.47432,0.52545,-0.81582,0.021408,0.061783,-0.65503,-0.18308,-0.08102,-1.4472
Zimbabwe,-0.56405,-0.83578,-0.40294,0.58531,-0.33904,-0.38982,0.2213,-0.012655,1.0989,-0.59159,-0.12069,-0.13803,-0.43715,-1.2012,0.79288,0.36965,0.97168,-0.2873,0.34649,0.028587,-0.046324,0.76211,0.33457,0.32289,0.15299,-0.67402,1.2314,-0.66878,-0.69693,1.1835,2.3964,0.44275,-0.35917,0.57823,-0.32921,0.14098,-0.11716,-0.57874,-0.52509,-0.82744,-0.37451,0.44321,0.28556,-0.551,0.072928,1.5266,-0.99166,0.22147,0.40409,-1.2424
Guinea,1.072,-1.1378,-0.65273,1.0777,-0.19542,-0.34261,0.45092,0.11533,0.23931,-0.43555,0.66682,0.12037,1.127,-0.6405,0.23153,-0.03131,0.4464,0.40983,-0.75202,0.83014,-0.71534,0.54008,0.97136,-0.017649,0.26586,-0.79866,1.1098,-0.4073,-0.89507,0.68066,1.7206,0.079305,-1.4735,0.13184,0.025484,0.35332,-0.99211,-0.57601,-0.42764,-0.75136,-0.36232,1.0448,0.49051,-1.1474,-0.38886,0.8203,-0.22731,-0.38463,0.21221,-1.3964
Benin,0.64632,-0.74097,-1.1731,0.86023,-0.3734,-0.31674,0.1694,-0.045947,0.21886,-0.32194,1.1378,-0.47269,0.1931,-0.89622,0.32577,-0.49659,-0.38411,-0.3817,0.1995,0.43025,-0.81952,0.10071,0.23482,0.48153,-0.26257,0.0089011,-0.054512,-0.26046,-1.1354,-0.22687,0.42819,1.0328,-1.0472,0.064773,0.35881,0.20513,-1.1072,0.36791,0.40135,0.68104,-0.25583,0.95252,0.98692,-1.598,-1.2706,1.3709,-0.030207,-0.045051,0.63319,-1.9322
Rwanda,1.9106,-1.242,-0.53617,-0.27452,0.078882,-0.39519,0.60819,-0.22835,0.34723,-0.40074,0.2673,-0.97398,-0.81133,-1.7306,1.1832,-0.093983,0.61908,-0.0056125,0.59615,0.47833,-0.66273,0.88934,0.36219,0.67531,-0.81791,-0.67285,0.44467,-0.10599,-0.60678,0.40193,1.5003,0.55987,-1.5564,-0.34097,-0.29879,0.47345,-0.9562,-0.65504,-0.37378,0.075983,-0.064402,1.0264,0.64083,-1.6023,-0.42944,0.53742,-0.28579,0.21683,-0.49362,-1.4089
Burundi,1.3299,-0.78947,-0.26832,-0.17486,-0.1186,-0.27713,0.39405,-0.10875,0.18305,-0.34024,0.47068,-1.0743,-0.54558,-0.81528,0.81435,0.34789,0.83385,-0.16436,0.87117,0.58616,-1.0451,0.93663,0.33239,0.63095,-0.57759,0.11579,0.73693,-0.24903,-0.30042,1.3883,1.5041,0.55306,-1.9817,0.26568,0.20435,0.28239,-0.9254,-0.95804,-0.12931,0.49552,-0.92299,1.0144,0.14852,-1.6524,-0.54762,0.8024,-0.23683,0.44152,-0.60459,-1.656
Bolivia,0.18261,-0.14717,-0.27514,1.2814,-0.71989,-0.534,0.051692,0.39056,-0.24156,0.94065,0.73153,-0.29269,0.94063,-0.42656,0.40414,-0.63543,0.11686,0.091649,0.71461,0.14784,-1.0229,-0.76748,0.28228,-0.13858,-0.4164,-0.65892,0.93466,0.011337,-0.014968,0.033741,1.7614,0.11591,-1.2124,0.12572,-0.56327,-0.20664,-1.6074,0.31712,0.35052,-0.11322,-0.67487,0.40403,0.99058,-1.3009,-0.70211,1.1,-0.80974,0.088512,-0.0040529,-1.3159
Tunisia,0.39391,0.62979,-0.6816,0.39088,-0.12773,-0.89035,0.19777,0.74735,0.049415,0.48968,1.0096,-0.77198,-0.18612,-0.80235,0.35377,0.62685,0.90408,-0.62233,-0.5297,1.707,-0.61551,0.066933,1.1838,0.83112,-0.38709,-0.53702,1.0299,0.0069134,-0.11293,0.4391,1.0551,0.88259,-1.0779,0.38011,0.17269,0.034423,-0.22544,1.0724,-0.82438,0.22687,0.7339,-0.32139,0.87174,-1.1258,0.41726,0.78995,-0.5656,0.4247,0.39997,-1.449
