,"2016","2016"
,"Mean BMI (kg/m&#xb2;) (age-standardized estimate)","Mean BMI (kg/m&#xb2;) (age-standardized estimate)"
,"18+  years","18+  years"
"Slovenia","26.6 [24.9-28.2]","26.5 [24.1-29.0]"
"Solomon Islands","25.7 [25.0-26.4]","26.9 [26.1-27.8]"
"Somalia","22.5 [20.0-25.0]","23.9 [20.6-27.1]"
"RSA","25.0 [24.3-25.6]","29.3 [28.7-30.0]"
"South Sudan","No data","No data"
"Spain","27.0 [26.3-27.6]","24.8 [24.0-25.5]"
"Sri Lanka","22.5 [21.8-23.3]","23.7 [22.8-24.5]"
"Sudan","No data","No data"
"Sudan","23.1 [21.5-24.8]","25.9 [24.0-28.0]"
"Suriname","25.4 [24.0-26.7]","27.7 [26.0-29.3]"
"Sweden","26.7 [25.8-27.6]","25.4 [24.3-26.5]"
"Switzerland","26.7 [26.0-27.3]","23.7 [22.3-25.1]"
"Syrian Arab Republic","27.4 [25.9-28.9]","29.2 [27.4-30.9]"
"Turkey","27.1 [26.5-27.6]","28.6 [28.0-29.2]"
"Tajikistan","25.8 [25.1-26.6]","26.3 [25.5-27.0]"
"Thailand","23.9 [22.8-24.9]","25.0 [23.9-26.0]"
"Timor-Leste","21.3 [20.5-22.1]","21.3 [20.5-22.1]"
"Togo","22.5 [21.5-23.6]","24.5 [23.6-25.4]"
"Tonga","30.5 [29.5-31.6]","33.7 [32.6-34.9]"
"Trinidad and Tobago","26.6 [24.8-28.3]","28.6 [26.5-30.6]"
"Tunisia","25.5 [24.4-26.7]","27.1 [25.7-28.4]"
"Turkmenistan","26.5 [25.7-27.3]","26.6 [25.6-27.5]"
"Tuvalu","30.0 [27.8-32.2]","31.6 [28.6-34.4]"
"Uganda","21.6 [20.9-22.3]","23.3 [22.5-24.1]"
"Ukraine","26.9 [24.4-29.5]","26.2 [24.2-28.2]"
"United Arab Emirates","28.0 [26.4-29.6]","29.4 [27.6-31.1]"
